chrm	peak_start	peak_end	TF	peak_enrichment	gene_start	gene	gene_strand	distance	simple_name	class
ZM4	14272	14273	ZMO0023	13.564	14370	ZMO1_ZMO0011	-	98	ZMO0023 (AsnC)	TF homology
ZM4	17262	17263	ZMO0023	26.8172	17332	hrcA	+	-70	ZMO0023 (AsnC)	TF homology
ZM4	26848	26849	ZMO0023	1142.47	26828	ZMO1_ZMO0023	-	-20	ZMO0023 (AsnC)	TF homology
ZM4	30899	30900	ZMO0023	8.33587	31082	ZMO1_ZMO0028	+	-183	ZMO0023 (AsnC)	TF homology
ZM4	37147	37148	ZMO0023	48.6678	37054	ZMO1_ZMO0031	-	-93	ZMO0023 (AsnC)	TF homology
ZM4	43281	43282	ZMO0023	2.01892	43129	ZMO1_ZMO0043	-	-152	ZMO0023 (AsnC)	TF homology
ZM4	76469	76470	ZMO0023	2.67721	76369	mcp	-	-100	ZMO0023 (AsnC)	TF homology
ZM4	80596	80597	ZMO0023	65.5282	80422	ZMO1_ZMO0088	-	-174	ZMO0023 (AsnC)	TF homology
ZM4	82692	82693	ZMO0023	7.37729	82624	ZMO1_ZMO0091	+	68	ZMO0023 (AsnC)	TF homology
ZM4	95331	95332	ZMO0023	3.41134	95276	ZMO1_ZMO0109	+	55	ZMO0023 (AsnC)	TF homology
ZM4	100830	100831	ZMO0023	6.40863	100923	pabB	+	-93	ZMO0023 (AsnC)	TF homology
ZM4	104085	104086	ZMO0023	226.773	104016	ZMO1_ZMO0116	+	69	ZMO0023 (AsnC)	TF homology
ZM4	140672	140673	ZMO0023	496.213	140798	ZMO1_ZMO2043	+	-126	ZMO0023 (AsnC)	TF homology
ZM4	208798	208799	ZMO0023	49.1165	208677	shdA	-	-121	ZMO0023 (AsnC)	TF homology
ZM4	245041	245042	ZMO0023	133.787	245174	ZMO1_ZMO0252	+	-133	ZMO0023 (AsnC)	TF homology
ZM4	254165	254166	ZMO0023	309.724	254133	tolC	+	32	ZMO0023 (AsnC)	TF homology
ZM4	284872	284873	ZMO0023	107.524	284751	rnd1	-	-121	ZMO0023 (AsnC)	TF homology
ZM4	293809	293810	ZMO0023	33.3929	293738	ZMO1_ZMO0286	-	-71	ZMO0023 (AsnC)	TF homology
ZM4	295248	295249	ZMO0023	66.713	295366	ZMO1_ZMO0290	+	-118	ZMO0023 (AsnC)	TF homology
ZM4	297573	297574	ZMO0023	16.8737	297469	lgt	-	-104	ZMO0023 (AsnC)	TF homology
ZM4	306466	306467	ZMO0023	14.6149	306493	ZMO1_ZMO0301	+	-27	ZMO0023 (AsnC)	TF homology
ZM4	309069	309070	ZMO0023	9.67529	309144	ZMO1_ZMO0305	-	75	ZMO0023 (AsnC)	TF homology
ZM4	332431	332432	ZMO0023	4.52917	332579	ZMO1_ZMO0335	+	-148	ZMO0023 (AsnC)	TF homology
ZM4	378332	378333	ZMO0023	14.8176	378392	ZMO1_ZMO0372	+	-60	ZMO0023 (AsnC)	TF homology
ZM4	454284	454285	ZMO0023	12.0861	454420	lolD	-	136	ZMO0023 (AsnC)	TF homology
ZM4	559171	559172	ZMO0023	132.29	559252	hisC3	+	-81	ZMO0023 (AsnC)	TF homology
ZM4	573747	573748	ZMO0023	4.35738	573858	ZMO1_ZMO0571	+	-111	ZMO0023 (AsnC)	TF homology
ZM4	596944	596945	ZMO0023	59.9544	596747	ZMO1_ZMO0597	+	197	ZMO0023 (AsnC)	TF homology
ZM4	599359	599360	ZMO0023	26.1783	599378	accA	+	-19	ZMO0023 (AsnC)	TF homology
ZM4	605057	605058	ZMO0023	11.0884	605049	motB1	-	-8	ZMO0023 (AsnC)	TF homology
ZM4	617959	617960	ZMO0023	21.5294	618042	flgM	+	-83	ZMO0023 (AsnC)	TF homology
ZM4	622889	622890	ZMO0023	3.9698	623011	ZMO1_ZMO0627	+	-122	ZMO0023 (AsnC)	TF homology
ZM4	635612	635613	ZMO0023	349.7	635590	fliL	+	22	ZMO0023 (AsnC)	TF homology
ZM4	637141	637142	ZMO0023	124.142	637151	fliN	+	-10	ZMO0023 (AsnC)	TF homology
ZM4	638996	638997	ZMO0023	4.23364	639020	fliR	+	-24	ZMO0023 (AsnC)	TF homology
ZM4	642816	642817	ZMO0023	26.5419	642786	fliS	+	30	ZMO0023 (AsnC)	TF homology
ZM4	650220	650221	ZMO0023	18.0573	650148	gpt	-	-72	ZMO0023 (AsnC)	TF homology
ZM4	663080	663081	ZMO0023	64.3798	663271	ZMO1_ZMO2005	+	-191	ZMO0023 (AsnC)	TF homology
ZM4	672799	672800	ZMO0023	46.7395	672694	leuB	-	-105	ZMO0023 (AsnC)	TF homology
ZM4	674809	674810	ZMO0023	218.982	674838	ZMO1_ZMO0681	+	-29	ZMO0023 (AsnC)	TF homology
ZM4	682891	682892	ZMO0023	46.5227	682751	ZMO1_ZMO0686	+	140	ZMO0023 (AsnC)	TF homology
ZM4	684862	684863	ZMO0023	14.7788	684921	budB	-	59	ZMO0023 (AsnC)	TF homology
ZM4	746985	746986	ZMO0023	40.4312	747007	ZMO1_ZMO0747	+	-22	ZMO0023 (AsnC)	TF homology
ZM4	749615	749616	ZMO0023	2776.87	749510	rpoH	-	-105	ZMO0023 (AsnC)	TF homology
ZM4	754177	754178	ZMO0023	229.533	754022	ZMO1_ZMO0756	-	-155	ZMO0023 (AsnC)	TF homology
ZM4	772928	772929	ZMO0023	12.7566	773083	ZMO1_ZMO0777	-	155	ZMO0023 (AsnC)	TF homology
ZM4	815870	815871	ZMO0023	182.918	815682	truA	-	-188	ZMO0023 (AsnC)	TF homology
ZM4	820179	820180	ZMO0023	139.267	820257	queD	+	-78	ZMO0023 (AsnC)	TF homology
ZM4	843739	843740	ZMO0023	29.695	843901	ftsZ	+	-162	ZMO0023 (AsnC)	TF homology
ZM4	857774	857775	ZMO0023	793.367	857720	kefB	-	-54	ZMO0023 (AsnC)	TF homology
ZM4	888270	888271	ZMO0023	194.738	888141	ispH	-	-129	ZMO0023 (AsnC)	TF homology
ZM4	926158	926159	ZMO0023	105.216	926001	ZMO1_ZMO0909	-	-157	ZMO0023 (AsnC)	TF homology
ZM4	934790	934791	ZMO0023	70.9284	934825	ZMO1_ZMO0916	+	-35	ZMO0023 (AsnC)	TF homology
ZM4	974350	974351	ZMO0023	7.03839	974470	ZMO1_ZMO0956	+	-120	ZMO0023 (AsnC)	TF homology
ZM4	1017180	1017181	ZMO0023	163.538	1017150	ZMO1_ZMO0999	-	-30	ZMO0023 (AsnC)	TF homology
ZM4	1031121	1031122	ZMO0023	203.793	1031094	ZMO1_ZMOt021	-	-27	ZMO0023 (AsnC)	TF homology
ZM4	1055177	1055178	ZMO0023	9.93106	1055355	ZMO1_ZMO1040	+	-178	ZMO0023 (AsnC)	TF homology
