chrm	peak_start	peak_end	TF	peak_enrichment	prom_start	prom_end	promoter	prom_strand	distance	simple_name	class	gene
ZM4	17262	17263	ZMO0023	26.8172	17332	17333	TSS_0016	+	-70	ZMO0023 (AsnC)	TF homology	ZMO0015
ZM4	43281	43282	ZMO0023	2.01892	43156	43157	TSS_0059	-	-125	ZMO0023 (AsnC)	TF homology	ZMO0043
ZM4	82692	82693	ZMO0023	7.37729	82635	82636	TSS_0107	-	-57	ZMO0023 (AsnC)	TF homology	ZMO0090
ZM4	100830	100831	ZMO0023	6.40863	100905	100906	TSS_0139	+	-75	ZMO0023 (AsnC)	TF homology	ZMO0113
ZM4	104085	104086	ZMO0023	226.773	103994	103995	TSS_0143	+	91	ZMO0023 (AsnC)	TF homology	ZMO0116
ZM4	110341	110342	ZMO0023	449.832	110455	110456	TSS_0154	+	-114	ZMO0023 (AsnC)	TF homology	ZMO0122
ZM4	118357	118358	ZMO0023	58.5084	118480	118481	TSS_0167	-	123	ZMO0023 (AsnC)	TF homology	ZMO0128
ZM4	140672	140673	ZMO0023	496.213	140699	140700	TSS_0214	+	-27	ZMO0023 (AsnC)	TF homology	ZMO2043
ZM4	157506	157507	ZMO0023	47.5817	157635	157636	TSS_0267	+	-129	ZMO0023 (AsnC)	TF homology	ZMO0172
ZM4	160803	160804	ZMO0023	11.2896	160904	160905	TSS_0284	-	101	ZMO0023 (AsnC)	TF homology	ZMO0173
ZM4	208798	208799	ZMO0023	49.1165	208720	208721	TSS_0417	-	-78	ZMO0023 (AsnC)	TF homology	ZMO0213
ZM4	245041	245042	ZMO0023	133.787	245089	245090	TSS_0500	+	-48	ZMO0023 (AsnC)	TF homology	ZMO0252
ZM4	284872	284873	ZMO0023	107.524	284913	284914	TSS_0552	+	-41	ZMO0023 (AsnC)	TF homology	ZMO0279
ZM4	293809	293810	ZMO0023	33.3929	293765	293766	TSS_0578	-	-44	ZMO0023 (AsnC)	TF homology	ZMO0286
ZM4	295248	295249	ZMO0023	66.713	295366	295367	TSS_0583	+	-118	ZMO0023 (AsnC)	TF homology	ZMO0290
ZM4	315670	315671	ZMO0023	439.378	315795	315796	TSS_0609	+	-125	ZMO0023 (AsnC)	TF homology	ZMO0313
ZM4	332431	332432	ZMO0023	4.52917	332383	332384	TSS_0646	-	-48	ZMO0023 (AsnC)	TF homology	ZMO0332
ZM4	353564	353565	ZMO0023	443.119	353593	353594	TSS_0695	+	-29	ZMO0023 (AsnC)	TF homology	ZMO0353
ZM4	370760	370761	ZMO0023	58.7071	370845	370846	TSS_0723	+	-85	ZMO0023 (AsnC)	TF homology	ZMO0366
ZM4	375796	375797	ZMO0023	177.44	375886	375887	TSS_0761	+	-90	ZMO0023 (AsnC)	TF homology	ZMO0369
ZM4	378332	378333	ZMO0023	14.8176	378389	378390	TSS_0771	+	-57	ZMO0023 (AsnC)	TF homology	ZMO0372
ZM4	559171	559172	ZMO0023	132.29	559230	559231	TSS_1328	+	-59	ZMO0023 (AsnC)	TF homology	ZMO0560
ZM4	596944	596945	ZMO0023	59.9544	596812	596813	TSS_1396	-	-132	ZMO0023 (AsnC)	TF homology	ZMO0594
ZM4	599359	599360	ZMO0023	26.1783	599377	599378	TSS_1402	+	-18	ZMO0023 (AsnC)	TF homology	ZMO0599
ZM4	607237	607238	ZMO0023	202.464	607071	607072	TSS_1410	-	-166	ZMO0023 (AsnC)	TF homology	ZMO0604
ZM4	617057	617058	ZMO0023	23.0816	617211	617212	TSS_1434	+	-154	ZMO0023 (AsnC)	TF homology	ZMO0619
ZM4	617959	617960	ZMO0023	21.5294	617994	617995	TSS_1437	+	-35	ZMO0023 (AsnC)	TF homology	ZMO0621
ZM4	637141	637142	ZMO0023	124.142	637092	637093	TSS_1467	+	49	ZMO0023 (AsnC)	TF homology	ZMO0644
ZM4	638996	638997	ZMO0023	4.23364	638856	638857	TSS_1469	+	140	ZMO0023 (AsnC)	TF homology	ZMO0649
